Algorithm,DataType,ArraySize,Time_ms,CharComparisons
"A1q TernaryQuickSort (Adapted)","AlmostSorted",400,0.01114,6265
"A1r MSD RadixSort (Adapted)","AlmostSorted",400,0.08787,817
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",400,0.03221,1265
"Standard MergeSort","AlmostSorted",400,0.26710,188858
"Standard QuickSort","AlmostSorted",400,0.07620,1080428
"A1m MergeSort (Adapted)","CommonPrefix",400,0.31742,208993
"A1q TernaryQuickSort (Adapted)","CommonPrefix",400,0.01020,5496
"A1r MSD RadixSort (Adapted)","CommonPrefix",400,0.13307,2819
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",400,0.07928,3266
"Standard MergeSort","CommonPrefix",400,0.36388,208993
"Standard QuickSort","CommonPrefix",400,0.04160,313427
"A1m MergeSort (Adapted)","Random",500,0.38385,286119
"A1q TernaryQuickSort (Adapted)","Random",500,0.00871,4495
"A1r MSD RadixSort (Adapted)","Random",500,0.09009,1035
"A1rq MSD+QuickSort (Adapted)","Random",500,0.04747,1695
"Standard MergeSort","Random",500,0.47663,286119
"Standard QuickSort","Random",500,0.05340,315896
"A1m MergeSort (Adapted)","ReverseSorted",500,0.37664,146377
"A1q TernaryQuickSort (Adapted)","ReverseSorted",500,0.02984,23091
"A1r MSD RadixSort (Adapted)","ReverseSorted",500,0.11299,1043
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",500,0.04419,2266
"Standard MergeSort","ReverseSorted",500,0.36588,146377
"Standard QuickSort","ReverseSorted",500,0.58015,8684336
"A1m MergeSort (Adapted)","AlmostSorted",500,0.33175,248229
"A1q TernaryQuickSort (Adapted)","AlmostSorted",500,0.01428,10058
"A1r MSD RadixSort (Adapted)","AlmostSorted",500,0.06600,1021
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",500,0.03424,1816
"Standard MergeSort","AlmostSorted",500,0.37444,248229
"Standard QuickSort","AlmostSorted",500,0.07806,1153112
"A1m MergeSort (Adapted)","CommonPrefix",500,0.35848,296887
"A1q TernaryQuickSort (Adapted)","CommonPrefix",500,0.01196,7569
"A1r MSD RadixSort (Adapted)","CommonPrefix",500,0.14268,3518
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",500,0.10847,4154
"Standard MergeSort","CommonPrefix",500,0.38784,296887
"Standard QuickSort","CommonPrefix",500,0.04312,342521
"A1m MergeSort (Adapted)","Random",600,0.49009,345968
"A1q TernaryQuickSort (Adapted)","Random",600,0.01082,5436
"A1r MSD RadixSort (Adapted)","Random",600,0.11290,1249
"A1rq MSD+QuickSort (Adapted)","Random",600,0.06066,2122
"Standard MergeSort","Random",600,0.47492,345968
"Standard QuickSort","Random",600,0.06162,434482
"A1m MergeSort (Adapted)","ReverseSorted",600,0.46818,189337
"A1q TernaryQuickSort (Adapted)","ReverseSorted",600,0.03935,28958
"A1r MSD RadixSort (Adapted)","ReverseSorted",600,0.14460,1222
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",600,0.05503,3079
"Standard MergeSort","ReverseSorted",600,0.48207,189337
"Standard QuickSort","ReverseSorted",600,0.82820,13158310
"A1m MergeSort (Adapted)","AlmostSorted",600,0.47583,353457
"A1q TernaryQuickSort (Adapted)","AlmostSorted",600,0.02187,13618
"A1r MSD RadixSort (Adapted)","AlmostSorted",600,0.08943,1248
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",600,0.04999,2260
"Standard MergeSort","AlmostSorted",600,0.50761,353457
"Standard QuickSort","AlmostSorted",600,0.17855,2681735
"A1m MergeSort (Adapted)","CommonPrefix",600,0.51717,355539
"A1q TernaryQuickSort (Adapted)","CommonPrefix",600,0.01770,8924
"A1r MSD RadixSort (Adapted)","CommonPrefix",600,0.16654,4231
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",600,0.13902,5166
"Standard MergeSort","CommonPrefix",600,0.53767,355539
"Standard QuickSort","CommonPrefix",600,0.05668,540783
"A1m MergeSort (Adapted)","Random",700,0.64259,419794
"A1q TernaryQuickSort (Adapted)","Random",700,0.01552,7025
"A1r MSD RadixSort (Adapted)","Random",700,0.15638,1480
"A1rq MSD+QuickSort (Adapted)","Random",700,0.06959,2694
"Standard MergeSort","Random",700,0.56989,419794
"Standard QuickSort","Random",700,0.08699,531378
"A1m MergeSort (Adapted)","ReverseSorted",700,0.53547,231063
"A1q TernaryQuickSort (Adapted)","ReverseSorted",700,0.04160,33971
"A1r MSD RadixSort (Adapted)","ReverseSorted",700,0.12092,1459
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",700,0.06245,3911
"Standard MergeSort","ReverseSorted",700,0.52253,231063
"Standard QuickSort","ReverseSorted",700,1.07301,18554014
"A1m MergeSort (Adapted)","AlmostSorted",700,0.58426,393294
"A1q TernaryQuickSort (Adapted)","AlmostSorted",700,0.02893,16269
"A1r MSD RadixSort (Adapted)","AlmostSorted",700,0.09867,1466
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",700,0.05608,2876
"Standard MergeSort","AlmostSorted",700,0.59053,393294
"Standard QuickSort","AlmostSorted",700,0.16635,1975883
"A1m MergeSort (Adapted)","CommonPrefix",700,0.63592,444307
