Algorithm,DataType,ArraySize,Time_ms,CharComparisons
"A1r MSD RadixSort (Adapted)","ReverseSorted",1800,0.38212,3984
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",1800,0.20375,19732
"Standard MergeSort","ReverseSorted",1800,1.58760,710322
"Standard QuickSort","ReverseSorted",1800,6.68442,119048978
"A1m MergeSort (Adapted)","AlmostSorted",1800,1.68378,1179925
"A1q TernaryQuickSort (Adapted)","AlmostSorted",1800,0.10308,59635
"A1r MSD RadixSort (Adapted)","AlmostSorted",1800,0.29988,3951
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",1800,0.15480,10672
"Standard MergeSort","AlmostSorted",1800,1.66475,1179925
"Standard QuickSort","AlmostSorted",1800,0.34528,4620199
"A1m MergeSort (Adapted)","CommonPrefix",1800,1.68424,1269173
"A1q TernaryQuickSort (Adapted)","CommonPrefix",1800,0.06154,29269
"A1r MSD RadixSort (Adapted)","CommonPrefix",1800,0.53020,12985
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",1800,0.36467,18502
"Standard MergeSort","CommonPrefix",1800,1.67952,1269173
"Standard QuickSort","CommonPrefix",1800,0.28254,1460216
"A1m MergeSort (Adapted)","Random",1900,1.92759,1383315
"A1q TernaryQuickSort (Adapted)","Random",1900,0.05757,22930
"A1r MSD RadixSort (Adapted)","Random",1900,0.44468,4191
"A1rq MSD+QuickSort (Adapted)","Random",1900,0.20077,10122
"Standard MergeSort","Random",1900,1.93182,1383315
"Standard QuickSort","Random",1900,0.23572,1708028
"A1m MergeSort (Adapted)","ReverseSorted",1900,1.76109,795218
"A1q TernaryQuickSort (Adapted)","ReverseSorted",1900,0.14704,98975
"A1r MSD RadixSort (Adapted)","ReverseSorted",1900,0.42340,4190
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",1900,0.21142,21862
"Standard MergeSort","ReverseSorted",1900,1.80918,795218
"Standard QuickSort","ReverseSorted",1900,7.98484,132710667
"A1m MergeSort (Adapted)","AlmostSorted",1900,1.78347,1219993
"A1q TernaryQuickSort (Adapted)","AlmostSorted",1900,0.09278,53320
"A1r MSD RadixSort (Adapted)","AlmostSorted",1900,0.32366,4237
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",1900,0.18085,11593
"Standard MergeSort","AlmostSorted",1900,1.83558,1219993
"Standard QuickSort","AlmostSorted",1900,0.33667,3869311
"A1m MergeSort (Adapted)","CommonPrefix",1900,1.79402,1384362
"A1q TernaryQuickSort (Adapted)","CommonPrefix",1900,0.06687,30765
"A1r MSD RadixSort (Adapted)","CommonPrefix",1900,0.56396,13662
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",1900,0.37953,19533
"Standard MergeSort","CommonPrefix",1900,1.83000,1384362
"Standard QuickSort","CommonPrefix",1900,0.23726,1798395
"A1m MergeSort (Adapted)","Random",2000,1.97853,1464918
"A1q TernaryQuickSort (Adapted)","Random",2000,0.06298,22558
"A1r MSD RadixSort (Adapted)","Random",2000,0.40422,4463
"A1rq MSD+QuickSort (Adapted)","Random",2000,0.21432,10836
"Standard MergeSort","Random",2000,1.95507,1464918
"Standard QuickSort","Random",2000,0.24958,1839554
"A1m MergeSort (Adapted)","ReverseSorted",2000,1.71896,819115
"A1q TernaryQuickSort (Adapted)","ReverseSorted",2000,0.14739,104846
"A1r MSD RadixSort (Adapted)","ReverseSorted",2000,0.41968,4470
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",2000,0.21653,23653
"Standard MergeSort","ReverseSorted",2000,1.73832,819115
"Standard QuickSort","ReverseSorted",2000,8.06979,148206736
"A1m MergeSort (Adapted)","AlmostSorted",2000,1.78427,1221291
"A1q TernaryQuickSort (Adapted)","AlmostSorted",2000,0.10803,63556
"A1r MSD RadixSort (Adapted)","AlmostSorted",2000,0.34217,4487
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",2000,0.16759,12313
"Standard MergeSort","AlmostSorted",2000,1.77421,1221291
"Standard QuickSort","AlmostSorted",2000,0.39037,5881037
"A1m MergeSort (Adapted)","CommonPrefix",2000,1.82035,1391184
"A1q TernaryQuickSort (Adapted)","CommonPrefix",2000,0.07348,33020
"A1r MSD RadixSort (Adapted)","CommonPrefix",2000,0.62118,14474
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",2000,0.43982,21078
"Standard MergeSort","CommonPrefix",2000,1.85478,1391184
"Standard QuickSort","CommonPrefix",2000,0.26048,1992622
"A1m MergeSort (Adapted)","Random",2100,1.96803,1514719
"A1q TernaryQuickSort (Adapted)","Random",2100,0.06676,24930
"A1r MSD RadixSort (Adapted)","Random",2100,0.42796,4702
"A1rq MSD+QuickSort (Adapted)","Random",2100,0.21351,11535
"Standard MergeSort","Random",2100,1.99574,1514719
"Standard QuickSort","Random",2100,0.30347,2059236
"A1m MergeSort (Adapted)","ReverseSorted",2100,1.89469,892768
"A1q TernaryQuickSort (Adapted)","ReverseSorted",2100,0.16569,111039
"A1r MSD RadixSort (Adapted)","ReverseSorted",2100,0.42642,4637
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",2100,0.22010,26110
"Standard MergeSort","ReverseSorted",2100,1.90051,892768
"Standard QuickSort","ReverseSorted",2100,8.81840,163524821
"A1m MergeSort (Adapted)","AlmostSorted",2100,1.92160,1343298
"A1q TernaryQuickSort (Adapted)","AlmostSorted",2100,0.10014,56717
"A1r MSD RadixSort (Adapted)","AlmostSorted",2100,0.35999,4691
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",2100,0.18923,13083
"Standard MergeSort","AlmostSorted",2100,1.97834,1343298
"Standard QuickSort","AlmostSorted",2100,0.47737,7258719
"A1m MergeSort (Adapted)","CommonPrefix",2100,2.10838,1506820
"A1q TernaryQuickSort (Adapted)","CommonPrefix",2100,0.07737,34673
"A1r MSD RadixSort (Adapted)","CommonPrefix",2100,0.70197,15218
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",2100,0.46216,22205
"Standard MergeSort","CommonPrefix",2100,2.11437,1506820
"Standard QuickSort","CommonPrefix",2100,0.28367,2107166
"A1m MergeSort (Adapted)","Random",2200,2.17502,1641406
"A1q TernaryQuickSort (Adapted)","Random",2200,0.07902,28139
"A1r MSD RadixSort (Adapted)","Random",2200,0.47508,4911
"A1rq MSD+QuickSort (Adapted)","Random",2200,0.26535,12335
"Standard MergeSort","Random",2200,2.18371,1641406
"Standard QuickSort","Random",2200,0.29916,2083507
"A1m MergeSort (Adapted)","ReverseSorted",2200,1.94668,892223
"A1q TernaryQuickSort (Adapted)","ReverseSorted",2200,0.16340,116367
"A1r MSD RadixSort (Adapted)","ReverseSorted",2200,0.46475,4967
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",2200,0.23173,27988
"Standard MergeSort","ReverseSorted",2200,2.00622,892223
"Standard QuickSort","ReverseSorted",2200,9.81568,182567711
"A1m MergeSort (Adapted)","AlmostSorted",2200,1.99859,1490657
"A1q TernaryQuickSort (Adapted)","AlmostSorted",2200,0.11134,66929
"A1r MSD RadixSort (Adapted)","AlmostSorted",2200,0.36716,4896
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",2200,0.23423,13923
"Standard MergeSort","AlmostSorted",2200,1.85017,1490657
"Standard QuickSort","AlmostSorted",2200,0.54759,8501548
"A1m MergeSort (Adapted)","CommonPrefix",2200,2.05588,1612594
"A1q TernaryQuickSort (Adapted)","CommonPrefix",2200,0.08753,37320
"A1r MSD RadixSort (Adapted)","CommonPrefix",2200,0.68204,15977
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",2200,0.47312,23100
"Standard MergeSort","CommonPrefix",2200,2.28092,1612594
"Standard QuickSort","CommonPrefix",2200,0.31526,2227404
"A1m MergeSort (Adapted)","Random",2300,2.58182,1691374
"A1q TernaryQuickSort (Adapted)","Random",2300,0.07878,27317
"A1r MSD RadixSort (Adapted)","Random",2300,0.63053,5168
"A1rq MSD+QuickSort (Adapted)","Random",2300,0.29807,12986
"Standard MergeSort","Random",2300,2.83271,1691374
"Standard QuickSort","Random",2300,0.29552,2128465
"A1m MergeSort (Adapted)","ReverseSorted",2300,2.11403,933335
"A1q TernaryQuickSort (Adapted)","ReverseSorted",2300,0.18863,125824
"A1r MSD RadixSort (Adapted)","ReverseSorted",2300,0.52495,5205
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",2300,0.24817,30654
"Standard MergeSort","ReverseSorted",2300,2.11748,933335
"Standard QuickSort","ReverseSorted",2300,10.75698,197328677
"A1m MergeSort (Adapted)","AlmostSorted",2300,2.11169,1550096
"A1q TernaryQuickSort (Adapted)","AlmostSorted",2300,0.10207,66258
"A1r MSD RadixSort (Adapted)","AlmostSorted",2300,0.36086,5169
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",2300,0.20203,14583
"Standard MergeSort","AlmostSorted",2300,2.04807,1550096
"Standard QuickSort","AlmostSorted",2300,0.75123,11698042
"A1m MergeSort (Adapted)","CommonPrefix",2300,2.26997,1660605
"A1q TernaryQuickSort (Adapted)","CommonPrefix",2300,0.08898,39302
"A1r MSD RadixSort (Adapted)","CommonPrefix",2300,0.69155,16705
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",2300,0.47362,24296
"Standard MergeSort","CommonPrefix",2300,2.22002,1660605
"Standard QuickSort","CommonPrefix",2300,0.31441,2188403
"A1m MergeSort (Adapted)","Random",2400,2.33230,1732430
"A1q TernaryQuickSort (Adapted)","Random",2400,0.08818,31833
"A1r MSD RadixSort (Adapted)","Random",2400,0.51123,5396
"A1rq MSD+QuickSort (Adapted)","Random",2400,0.25229,13665
"Standard MergeSort","Random",2400,2.36893,1732430
"Standard QuickSort","Random",2400,0.32402,1906280
"A1m MergeSort (Adapted)","ReverseSorted",2400,2.15932,935179
"A1q TernaryQuickSort (Adapted)","ReverseSorted",2400,0.20242,131264
"A1r MSD RadixSort (Adapted)","ReverseSorted",2400,0.53772,5419
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",2400,0.24793,33101
"Standard MergeSort","ReverseSorted",2400,2.20975,935179
"Standard QuickSort","ReverseSorted",2400,11.71913,216765973
"A1m MergeSort (Adapted)","AlmostSorted",2400,2.22623,1631309
"A1q TernaryQuickSort (Adapted)","AlmostSorted",2400,0.14670,82813
"A1r MSD RadixSort (Adapted)","AlmostSorted",2400,0.43148,5437
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",2400,0.21702,15481
"Standard MergeSort","AlmostSorted",2400,2.23762,1631309
"Standard QuickSort","AlmostSorted",2400,0.47445,6747734
"A1m MergeSort (Adapted)","CommonPrefix",2400,2.27724,1741698
"A1q TernaryQuickSort (Adapted)","CommonPrefix",2400,0.09714,40091
"A1r MSD RadixSort (Adapted)","CommonPrefix",2400,0.72578,17394
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",2400,0.51434,25754
"Standard MergeSort","CommonPrefix",2400,2.29516,1741698
"Standard QuickSort","CommonPrefix",2400,0.31233,2346668
"A1m MergeSort (Adapted)","Random",2500,2.40213,1864323
"A1q TernaryQuickSort (Adapted)","Random",2500,0.08314,28816
"A1r MSD RadixSort (Adapted)","Random",2500,0.54990,5681
"A1rq MSD+QuickSort (Adapted)","Random",2500,0.25629,14532
"Standard MergeSort","Random",2500,2.42122,1864323
"Standard QuickSort","Random",2500,0.33042,2398067
"A1m MergeSort (Adapted)","ReverseSorted",2500,2.23758,1050967
"A1q TernaryQuickSort (Adapted)","ReverseSorted",2500,0.20257,136750
"A1r MSD RadixSort (Adapted)","ReverseSorted",2500,0.54369,5672
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",2500,0.24881,34983
"Standard MergeSort","ReverseSorted",2500,2.24473,1050967
"Standard QuickSort","ReverseSorted",2500,19.31828,235574531
"A1m MergeSort (Adapted)","AlmostSorted",2500,2.30758,1734990
"A1q TernaryQuickSort (Adapted)","AlmostSorted",2500,0.12447,72872
"A1r MSD RadixSort (Adapted)","AlmostSorted",2500,0.44938,5678
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",2500,0.22342,16538
"Standard MergeSort","AlmostSorted",2500,2.31503,1734990
"Standard QuickSort","AlmostSorted",2500,0.49218,5567759
"A1m MergeSort (Adapted)","CommonPrefix",2500,2.53792,1873194
"A1q TernaryQuickSort (Adapted)","CommonPrefix",2500,0.11102,46054
"A1r MSD RadixSort (Adapted)","CommonPrefix",2500,0.82582,18205
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",2500,0.57534,26914
"Standard MergeSort","CommonPrefix",2500,2.37177,1873194
"Standard QuickSort","CommonPrefix",2500,0.31945,2107817
"A1m MergeSort (Adapted)","Random",2600,2.60550,1999257
"A1q TernaryQuickSort (Adapted)","Random",2600,0.07835,32018
"A1r MSD RadixSort (Adapted)","Random",2600,0.57427,5925
"A1rq MSD+QuickSort (Adapted)","Random",2600,0.28689,15416
"Standard MergeSort","Random",2600,2.69607,1999257
"Standard QuickSort","Random",2600,0.34513,2736031
"A1m MergeSort (Adapted)","ReverseSorted",2600,2.47612,1094543
"A1q TernaryQuickSort (Adapted)","ReverseSorted",2600,0.21593,140473
"A1r MSD RadixSort (Adapted)","ReverseSorted",2600,0.63279,5932
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",2600,0.28035,37459
"Standard MergeSort","ReverseSorted",2600,2.49588,1094543
"Standard QuickSort","ReverseSorted",2600,13.79772,255309241
"A1m MergeSort (Adapted)","AlmostSorted",2600,2.56808,1778313
"A1q TernaryQuickSort (Adapted)","AlmostSorted",2600,0.12468,75965
"A1r MSD RadixSort (Adapted)","AlmostSorted",2600,0.47487,5915
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",2600,0.23767,17234
"Standard MergeSort","AlmostSorted",2600,2.45878,1778313
"Standard QuickSort","AlmostSorted",2600,0.86339,13909527
"A1m MergeSort (Adapted)","CommonPrefix",2600,2.63069,1945115
"A1q TernaryQuickSort (Adapted)","CommonPrefix",2600,0.09268,47495
"A1r MSD RadixSort (Adapted)","CommonPrefix",2600,0.84263,18898
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",2600,0.53542,28133
"Standard MergeSort","CommonPrefix",2600,2.50477,1945115
"Standard QuickSort","CommonPrefix",2600,0.33929,2531967
"A1m MergeSort (Adapted)","Random",2700,2.83554,2037870
"A1q TernaryQuickSort (Adapted)","Random",2700,0.07993,32508
"A1r MSD RadixSort (Adapted)","Random",2700,0.63591,6159
"A1rq MSD+QuickSort (Adapted)","Random",2700,0.28626,15986
"Standard MergeSort","Random",2700,2.62421,2037870
"Standard QuickSort","Random",2700,0.36146,2577872
"A1m MergeSort (Adapted)","ReverseSorted",2700,2.43701,1075009
"A1q TernaryQuickSort (Adapted)","ReverseSorted",2700,0.23447,150758
"A1r MSD RadixSort (Adapted)","ReverseSorted",2700,0.68402,6235
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",2700,0.27503,39950
"Standard MergeSort","ReverseSorted",2700,2.58279,1075009
"Standard QuickSort","ReverseSorted",2700,14.90242,269207898
"A1m MergeSort (Adapted)","AlmostSorted",2700,2.63852,1892248
"A1q TernaryQuickSort (Adapted)","AlmostSorted",2700,0.16923,95244
"A1r MSD RadixSort (Adapted)","AlmostSorted",2700,0.51482,6177
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",2700,0.25921,18225
"Standard MergeSort","AlmostSorted",2700,2.53700,1892248
"Standard QuickSort","AlmostSorted",2700,0.59446,7701253
"A1m MergeSort (Adapted)","CommonPrefix",2700,2.87379,2019262
"A1q TernaryQuickSort (Adapted)","CommonPrefix",2700,0.09599,45458
"A1r MSD RadixSort (Adapted)","CommonPrefix",2700,0.96991,19682
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",2700,0.64945,29481
"Standard MergeSort","CommonPrefix",2700,2.67520,2019262
"Standard QuickSort","CommonPrefix",2700,0.37680,2672613
"A1m MergeSort (Adapted)","Random",2800,2.95075,2135247
"A1q TernaryQuickSort (Adapted)","Random",2800,0.09029,32143
"A1r MSD RadixSort (Adapted)","Random",2800,0.60771,6390
"A1rq MSD+QuickSort (Adapted)","Random",2800,0.30258,16482
"Standard MergeSort","Random",2800,2.95796,2135247
"Standard QuickSort","Random",2800,0.40086,2734008
"A1m MergeSort (Adapted)","ReverseSorted",2800,2.69665,1071085
"A1q TernaryQuickSort (Adapted)","ReverseSorted",2800,0.24957,157126
"A1r MSD RadixSort (Adapted)","ReverseSorted",2800,0.68097,6381
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",2800,0.28177,43253
"Standard MergeSort","ReverseSorted",2800,2.64833,1071085
"Standard QuickSort","ReverseSorted",2800,16.37715,286080606
"A1m MergeSort (Adapted)","AlmostSorted",2800,2.69293,1893775
"A1q TernaryQuickSort (Adapted)","AlmostSorted",2800,0.17264,108044
"A1r MSD RadixSort (Adapted)","AlmostSorted",2800,0.51860,6476
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",2800,0.24578,19377
"Standard MergeSort","AlmostSorted",2800,2.73660,1893775
"Standard QuickSort","AlmostSorted",2800,0.54788,7251301
"A1m MergeSort (Adapted)","CommonPrefix",2800,2.95634,2081390
"A1q TernaryQuickSort (Adapted)","CommonPrefix",2800,0.11527,48181
"A1r MSD RadixSort (Adapted)","CommonPrefix",2800,0.96354,20456
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",2800,0.64110,30783
"Standard MergeSort","CommonPrefix",2800,2.91966,2081390
"Standard QuickSort","CommonPrefix",2800,0.36985,2623993
"A1m MergeSort (Adapted)","Random",2900,3.07776,2283774
"A1q TernaryQuickSort (Adapted)","Random",2900,0.10467,33202
"A1r MSD RadixSort (Adapted)","Random",2900,0.69953,6666
"A1rq MSD+QuickSort (Adapted)","Random",2900,0.32588,17678
"Standard MergeSort","Random",2900,2.99907,2283774
"Standard QuickSort","Random",2900,0.40085,3046874
"A1m MergeSort (Adapted)","ReverseSorted",2900,2.69870,1240670
"A1q TernaryQuickSort (Adapted)","ReverseSorted",2900,0.24580,162040
"A1r MSD RadixSort (Adapted)","ReverseSorted",2900,0.68112,6651
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",2900,0.33171,45748
"Standard MergeSort","ReverseSorted",2900,2.72625,1240670
"Standard QuickSort","ReverseSorted",2900,17.15503,313827060
"A1m MergeSort (Adapted)","AlmostSorted",2900,2.85973,2010521
"A1q TernaryQuickSort (Adapted)","AlmostSorted",2900,0.18118,107001
"A1r MSD RadixSort (Adapted)","AlmostSorted",2900,0.58104,6654
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",2900,0.26236,20315
"Standard MergeSort","AlmostSorted",2900,2.78572,2010521
"Standard QuickSort","AlmostSorted",2900,0.53930,6560696
"A1m MergeSort (Adapted)","CommonPrefix",2900,3.01725,2192883
"A1q TernaryQuickSort (Adapted)","CommonPrefix",2900,0.12597,53239
"A1r MSD RadixSort (Adapted)","CommonPrefix",2900,1.00584,21155
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",2900,0.67129,32039
"Standard MergeSort","CommonPrefix",2900,3.03749,2192883
"Standard QuickSort","CommonPrefix",2900,0.42454,2620288
"A1m MergeSort (Adapted)","Random",3000,3.23745,2297472
"A1q TernaryQuickSort (Adapted)","Random",3000,0.10468,35743
"A1r MSD RadixSort (Adapted)","Random",3000,0.72375,6895
"A1rq MSD+QuickSort (Adapted)","Random",3000,0.32553,18176
"Standard MergeSort","Random",3000,3.10185,2297472
"Standard QuickSort","Random",3000,0.43846,2928295
"A1m MergeSort (Adapted)","ReverseSorted",3000,2.96259,1232845
"A1q TernaryQuickSort (Adapted)","ReverseSorted",3000,0.26015,165196
"A1r MSD RadixSort (Adapted)","ReverseSorted",3000,0.72652,7028
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",3000,0.33754,47664
"Standard MergeSort","ReverseSorted",3000,2.93446,1232845
"Standard QuickSort","ReverseSorted",3000,18.55135,335636333
"A1m MergeSort (Adapted)","AlmostSorted",3000,2.93478,2047883
"A1q TernaryQuickSort (Adapted)","AlmostSorted",3000,0.19702,111346
"A1r MSD RadixSort (Adapted)","AlmostSorted",3000,0.60054,6981
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",3000,0.27643,21293
"Standard MergeSort","AlmostSorted",3000,2.92177,2047883
"Standard QuickSort","AlmostSorted",3000,0.67655,8895121
"A1m MergeSort (Adapted)","CommonPrefix",3000,3.06298,2312010
"A1q TernaryQuickSort (Adapted)","CommonPrefix",3000,0.12662,50135
"A1r MSD RadixSort (Adapted)","CommonPrefix",3000,1.08722,22002
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",3000,0.70766,33562
"Standard MergeSort","CommonPrefix",3000,3.16832,2312010
"Standard QuickSort","CommonPrefix",3000,0.44113,3162624
